Grade Distribution for Fall 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Fall,Architecture,ENV DES,Environmental Design,11B,001,Intro To Design,Keith Plymale,28833,,7,11,18,13,7,3,,,,,,,,,,,2,61
2012 Fall,Architecture,ENV DES,Environmental Design,98,002,Directed Group Stdy,Janos Botyanszki; Jean Bourdier,28860,,,,,,,,,,,,,,24,,1,,,25
2012 Fall,Architecture,ENV DES,Environmental Design,98,003,Directed Group Stdy,Janos Botyanszki; Jean Bourdier,28862,,,,,,,,,,,,,,14,1,2,,,17
2012 Fall,Architecture,ENV DES,Environmental Design,101B,001,1 Long Composition,Raymond Lifchez,28865,1,9,,,1,,,,,,,,,,,,,,11
2012 Fall,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04153,2,3,2,8,1,,,,,,,,1,,,,,,17
2012 Fall,Architecture,VIS STD,Visual Studies,186B,001,Photo Art Form,Jean Bourdier,04156,1,8,2,,,,,,,,,,,2,,,,,13
2012 Fall,Architecture,VIS STD,Visual Studies,198,001,Directed Group Stdy,Janos Botyanszki; Jean Bourdier,04159,,,,,,,,,,,,,,29,,2,,,31
2012 Fall,Architecture,VIS STD,Visual Studies,198,002,Directed Group Stdy,Janos Botyanszki; Jean Bourdier,04162,,,,,,,,,,,,,,26,,1,,,27
2012 Fall,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04303,15,42,25,12,6,3,1,1,,,1,,,2,,,,,108
2012 Fall,Art Practice,ART,Art Practice,12,001,Lang Of Draw,Indira Morre,04318,4,11,3,,1,,,,,,,,,1,,,,,20
2012 Fall,Art Practice,ART,Art Practice,12,002,Lang Of Draw,Craig Nagasawa,04321,1,18,2,1,,,,,,,,,,1,,,,,23
2012 Fall,Art Practice,ART,Art Practice,13,002,Lang Of Painting,John Mcnamara,04324,,16,7,1,,,,,,,,,,,,,,,24
2012 Fall,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Randy Hussong,04327,1,11,3,1,1,,,,,,,,,1,,,,,18
2012 Fall,Art Practice,ART,Art Practice,14,002,Lang Of Sculpture,Wanxin Zhang,04330,3,4,7,,,1,,,,,,,,,,1,,,16
2012 Fall,Art Practice,ART,Art Practice,16,001,Intro Printmaking,Randy Hussong,04333,,8,5,2,,1,,,,,,,1,,,,,,17
2012 Fall,Art Practice,ART,Art Practice,23AC,001,Amer Cyber Culture,Greg Niemeyer,04336,6,16,8,10,6,1,,1,,,,,2,9,,,,,59
2012 Fall,Art Practice,ART,Art Practice,98,002,Directed Group Stdy,John Mcnamara; Min Lu,04348,,,,,,,,,,,,,,16,,1,,,17
2012 Fall,Art Practice,ART,Art Practice,102,001,Approaches To Ptng,Katherine Sherwood,04384,,6,5,5,,1,,,1,,,,,,,,,,18
2012 Fall,Art Practice,ART,Art Practice,102,002,Approaches To Ptng,Sanjay Vora,04387,3,9,6,3,1,,,,,,,,,,,,,,22
2012 Fall,Art Practice,ART,Art Practice,117,001,Drawing Composition,Craig Nagasawa,04390,,22,3,,,,1,,,,,,,,,,,,26
2012 Fall,Art Practice,ART,Art Practice,118,001,Figure Drawing,Josephine Taylor,04393,4,18,3,2,2,,,,,,,,,,,,,,29
2012 Fall,Art Practice,ART,Art Practice,119,001,Gpca,Jenifer Wofford,04396,4,,5,5,3,1,3,1,,,,,1,,,,,,23
2012 Fall,Art Practice,ART,Art Practice,122,001,App To Prntmg Lith,Randy Hussong,04401,2,10,1,3,,,,,,,,,,,,,,,16
2012 Fall,Art Practice,ART,Art Practice,132,001,App To Sculp Ceram,Michael Swaine,04402,2,10,2,2,,,,,,,,,,1,,,,,17
2012 Fall,Art Practice,ART,Art Practice,133,002,Meaning/Material,Brody Reiman,04405,,11,4,,,,,,,,,,,,,,,,15
2012 Fall,Art Practice,ART,Art Practice,142,001,New Genres,Amanda Eicher,04407,,8,7,1,,,,,,,,,,,,,,,16
2012 Fall,Art Practice,ART,Art Practice,160,003,Spec Topics Vis Std,Amy Rathbone,04413,,8,1,,,,,,,,,1,,,,,,,10
2012 Fall,Art Practice,ART,Art Practice,164,001,Art And Meditation,Katherine Sherwood,04414,1,5,5,2,,,,,,,,,,,,,,,13
2012 Fall,Art Practice,ART,Art Practice,171,001,Digital Video,Anne Walsh,04417,,5,2,1,,,,,,,,,1,,,,,1,10
2012 Fall,Art Practice,ART,Art Practice,173,001,Sound Art,Christopher Kubick,04423,,5,,2,1,1,,,,,,,1,1,,,,,11
2012 Fall,Art Practice,ART,Art Practice,185,001,Sn Projects,Brody Reiman,04426,,15,7,1,,,,,,,,,,,,,,,23
2012 Fall,Art Practice,ART,Art Practice,198,002,Directed Group Stdy,John Mcnamara; Min Lu,04552,,,,,,,,,,,,,,11,1,1,,,13
2012 Fall,Astronomy,ASTRON,Astronomy,3,001,Modern Cosmology,Marc Davis,05902,7,7,,,1,,,1,,,,,,6,,1,,,23
2012 Fall,Astronomy,ASTRON,Astronomy,7A,001,Intro Astrophysics,Eugene Chiang,05903,1,6,4,4,7,9,4,6,3,,1,,2,7,,1,,,55
2012 Fall,Astronomy,ASTRON,Astronomy,10,001,General Astronomy,Leo Blitz,05915,5,26,11,12,5,12,3,3,1,,,,1,66,,8,,,153
2012 Fall,Astronomy,ASTRON,Astronomy,C12,001,The Planets,Geoffrey Marcy,05936,6,22,28,24,12,9,2,5,2,,,,1,17,,5,,,133
