UC Berkeley Fall 2007 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
CHINESE, 100B,002,ADVANCED CHINESE   ,"SHIAO, Y          ",0,5,5,2,1,0,0,0,0,0,1,0,0
CHINESE, 100BX,001,ADV CHINESE MANDAR ,"LI, I             ",0,11,5,0,0,0,0,0,0,0,0,0,1
CHINESE, 100BX,002,ADV CHINESE MANDAR ,"LI, I             ",0,7,8,3,1,0,0,0,0,0,0,0,0
CHINESE, 100BX,003,ADV CHINESE MANDAR ,"LI, I             ",0,8,6,3,1,0,0,0,0,0,0,0,1
CHINESE, 102,001,4TH YR READ-SOC/HIS,"LI, I             ",0,9,7,1,1,0,0,0,0,0,0,0,0
CHINESE, 110B,001,LITERARY CHINESE   ,"VARSANO, P M      ",0,6,4,1,2,1,2,1,1,0,1,0,0
CHINESE, 112,001,5TH-YEAR CHINESE B ,"LI, I             ",0,10,5,2,0,0,0,0,0,0,0,0,0
CHINESE, 134,001,CLASS CHINESE POET ,"VARSANO, P M      ",0,3,4,2,0,1,1,0,0,0,0,0,0
CHINESE, 157,001,CONTEMP CHINESE LIT,"JONES, A F        ",0,4,11,4,3,3,1,0,0,0,1,0,0
CHINESE, 165,001,HIST CHINESE LANG  ,"CHEN, Z           ",0,5,5,5,3,0,0,0,0,0,0,0,2
CHINESE, 188,001,POP CUL 20C CHINA  ,"JONES, A F        ",0,6,11,13,5,3,0,0,0,0,0,0,0
CHM ENG, 142,001,CHEM KIN REACT ENG ,"KATZ, A           ",2,7,5,10,15,27,5,1,2,0,0,0,2
CHM ENG, 150A,001,"TRANS: FLUIDS, HEAT","RADKE, C J        ",1,11,8,11,22,10,14,13,11,0,3,0,3
CHM ENG, 154,001,CHEM ENG LABORATORY,"WANG, X           ",2,12,2,9,2,3,0,3,0,0,0,0,0
CHM ENG, 157,001,TRANSPORT LAB      ,"SEGALMAN, R A     ",4,7,9,5,13,7,4,0,0,0,0,0,0
CHM ENG, 160,001,CHEM PROCESS DESIGN,"UPADHYE, R S      ",5,20,10,6,5,2,0,0,0,0,0,0,0
CHM ENG, 162,001,DYN CONTR CHEM PROC,"WALLMAN, P        ",1,12,5,4,6,9,9,0,2,0,0,0,0
