Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 4/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,120AA,001,Int Fin Acct 1,Francis Stanton,08184,6,27,9,,9,3,,,,,,,,,59,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,120AB,001,Int Fin Accnting 2,Francis Stanton,08193,5,20,8,,10,3,,,,,,,1,,54,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,120B,001,Adv Fin Accounting,Francis Stanton,08202,2,6,6,,3,2,,,,,,,,,23,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,121,001,Fed Inc Tax Acctg,Alan Cerf,08208,2,14,9,9,7,2,,,,,,,,,51,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,122,001,Fin Info Analysis,Patricia Dechow,08214,7,17,10,5,4,2,,2,,,,,,,50,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,126,001,Auditing,Tiffany Rasmussen,08220,,8,7,,3,1,,,,,,,,,23,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,127,001,Spec Topics In Acct,John Mccauley,08226,,6,8,6,2,1,,,,,,,,,29,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,131,001,Corp Fin Analysis,Stephen Etter,08232,1,33,8,,8,,,,,,,,,,55,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,152,001,Negotiation,Holly Schroth,08247,1,15,7,8,6,1,1,1,,,,,,,40,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,152,002,Negotiation,Holly Schroth,08250,3,13,5,13,6,1,,,,,,,,,41,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,155,001,Leadership,Daniel Mulhern,08253,,21,14,17,1,1,,1,,,,,,1,60,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,162,001,Brand Mgt&Strategy,Judy Hopelain,08261,,9,15,3,5,,,,,,,,,,32,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,167,001,Spec Topics In Mkt,Krystal Thomas,08262,1,2,17,6,2,1,,,,,,,,,31,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,167,002,Spec Topics In Mkt,David Robinson,08264,,5,3,13,10,2,,4,3,,,,,,52,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,175,001,Legal Aspects,Alan Ross,08271,,13,5,7,7,,2,,1,,,,,1,45,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,177,001,Spec Top/Bus Pub Po,Diane Dwyer,08274,,3,16,4,2,1,,1,1,,,,,,29,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,178,001,Intro Internatl Bus,Daniel Himelstein,08277,,2,16,8,3,,,,,,,,,,31,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,179,001,Intl Consulting Sme,Daniel Himelstein,08280,,1,22,11,,,,,,,,,,,34,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,180,001,Intro Real Estate,David Nelson,08283,7,70,10,2,18,,1,3,1,,1,,,1,128,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,190T,02A,Topics Innov/Design,Sara Beckman,08484,8,7,6,8,2,,,,,,,,,,35,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,190T,02B,Topics Innov/Design,Sara Beckman,08487,,4,13,11,1,1,,,,,,,,,37,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,190T,02C,Topics Innov/Design,Sara Beckman,08490,,6,11,11,4,,,,,,,,,,37,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,191C,001,Comm For Leaders,Ericka Lutz,08289,,7,9,8,4,,,,,,,,2,,36,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,191I,001,Improvisational Lea,Cort Worthington; Ori Brafman,08304,,6,8,10,,,,,,,,,,,25,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,192N,002,Topics In Ssl,Nora Silver,08310,3,19,9,2,4,5,,1,,,,,,,44,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,195P,001,Perspect Entrepren,Peter Molloy,08322,,4,19,17,5,1,,,,,,,,,51,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,195T,001,Topics In Ent,Robin Chandra,08325,,17,24,2,14,,,,,,,,,,57,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,196,001,Spec Topics Bus Adm,Fred Selinger,08328,8,31,46,18,20,3,1,2,1,,,,1,,274,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,196,002,Spec Topics Bus Adm,Fred Selinger,08331,8,40,23,19,21,2,2,,1,,,,1,,269,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,196,003,Spec Topics Bus Adm,Solomon Fulp,08334,,8,6,2,2,,1,,,,,,,,23,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,196,005,Spec Topics Bus Adm,Ericka Lutz,08340,1,5,2,5,1,1,,,,,,,,,15,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,198,004,Directed Group Stdy,Zsolt Katona,08364,,,,,,,,,,,,,,,64,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,198,005,Directed Group Stdy,Todd Fitch,08367,,,,,,,,,,,,,,,47,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,198,011,Directed Group Stdy,Frank Schultz,08385,,,,,,,,,,,,,,,24,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,198,015,Directed Group Stdy,Daniel Mulhern,08397,,,,,,,,,,,,,,,26,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,198,016,Directed Group Stdy,Holly Schroth,08400,,,,,,,,,,,,,,,26,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,40,001,Intro Ch E Design,Marjorie Went,10303,1,51,15,24,17,5,,6,,,,,,,123,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,140,001,Chem Proc Analysis,Clayton Radke,10333,2,16,13,21,16,20,22,12,12,,4,,1,,144,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,142,001,Chem Kin React Eng,Alexander Katz,10360,6,33,14,22,14,10,9,7,1,,1,,1,1,119,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,150B,001,Trans & Separa,Alexis Bell,10381,8,17,15,18,12,12,8,14,5,4,3,2,,,119,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,154,001,Chem Eng Laboratory,Colin Cerretani; David Graves,10396,3,11,2,5,11,7,3,,1,,1,,,,44,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,160,001,Chem Process Design,P. Henrik Wallman,10405,1,10,7,7,3,4,4,3,,,,,,,39,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,162,001,Dyn Contr Chem Proc,Nitash Balsara,10420,1,9,9,5,5,5,3,2,,,,,,,39,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,180,001,Chem Eng Economics,Gregory Schoofs,10441,,2,3,6,6,1,,2,,,,,,,20,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,185,001,Tech Communication,Shannon Ciston,10444,1,9,8,6,5,1,,,,,,,,,30,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,185,002,Tech Communication,Shannon Ciston,10447,,5,7,4,4,2,,,,,,,,,22,,,,,,,,
2015 Fall,Chem & Biomolecular Eng,CHM ENG,Chemical Engineering,C195A,001,Energy From Biomass,Wenjun Zhang,10672,,5,8,6,1,3,,,,,,,,,23,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,1A,001,General Chemistry,Luke Bertels; Martin Head-Gordon,11153,8,52,66,43,63,38,36,39,16,5,9,6,20,,424,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,1A,002,General Chemistry,Luke Bertels; Teresa Head-Gordon,11156,5,47,35,38,55,49,31,34,11,5,2,6,11,,359,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,1A,003,General Chemistry,Luke Bertels; Martin Head-Gordon,11159,10,41,54,35,51,49,26,32,12,9,8,2,21,,373,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,1A,004,General Chemistry,Angelica Stacy,11161,,5,4,6,18,5,4,12,4,,3,,1,1,65,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,1AL,001,General Chem Lab,Matthew Hauwiller; Michelle Douskey,11312,23,175,48,30,43,9,3,9,2,,3,,4,,354,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,1AL,002,General Chem Lab,Matthew Hauwiller; Michelle Douskey,11315,23,114,54,28,27,4,4,2,,,1,,2,,262,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,1AL,003,General Chem Lab,Matthew Hauwiller; Michelle Douskey,11318,61,266,72,36,54,8,3,5,3,,4,,1,,515,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3A,001,Chem Struct React,Steven Pedersen,11483,1,22,24,13,25,27,44,18,23,,5,,19,2,239,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3A,002,Chem Struct React,Steven Pedersen,11486,6,32,14,44,22,35,45,25,32,,4,,26,3,298,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3AL,001,Organic Chem Lab,Mark Levin; Maryann Robak,11492,3,144,53,46,26,4,7,,3,,,,6,1,296,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3AL,002,Organic Chem Lab,Mark Levin; Maryann Robak,11495,2,102,50,32,26,6,3,4,1,,1,,3,,231,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3B,001,Chem Struct React,Peter Marsden,11570,12,55,56,39,35,24,25,26,19,,8,,11,,315,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3B,002,Chem Struct React,Peter Marsden,11573,9,61,71,39,35,28,21,32,16,,4,,16,,343,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3BL,001,Organic Chem Lab,Alexander Brandt; Ming Hammond,11579,,167,209,34,18,12,9,5,2,,4,,1,,462,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,3BL,002,Organic Chem Lab,Alexander Brandt; Ming Hammond,11581,,23,44,5,7,1,1,1,,,,,,,82,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,4A,001,Gen Chm Quant Analy,Ke Xu; Meredith Triplet; Tanja Cuk,11654,5,38,23,29,64,25,19,25,19,,3,,1,,255,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,15,001,Bio/Analytical Chem,Daniel Neumark,11693,,4,5,6,6,8,2,6,4,,,,5,,48,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,96,001,Intro To Research,Felix Fischer,11720,,,,,,,,,,,,,,,136,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,103,001,Inorg Chem Bio,Adam Childs; Joel Finbloom; Matthew Francis,11738,1,22,4,4,23,,7,7,5,,2,,1,4,84,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,104A,001,Adv Inorganic Chem,Andy Nguyen; Benjamin Suslick; Ryan Witzke; T Tilley,11741,5,15,5,11,14,11,6,8,6,,9,,6,,97,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,108,001,Inorganic Synthesis,Richard Andersen,11750,,5,3,,4,,,1,,,,,,,13,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,112A,001,Organic Chemistry,Anne Baranger; Raul Leal,11771,1,17,25,22,32,29,18,23,6,3,4,2,1,3,188,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,113,001,Adv Mech Organ Chem,Felix Fischer; Rebecca Durr; Stephen Von Kugelgen,11810,4,5,4,3,4,3,1,,2,,,,,,31,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,115,001,Organic Chemistry,Dean Toste,11813,1,5,6,,,,,,,,,,,,12,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,120A,001,Physical Chemistry,Eric Neuscamman; Luning Zhao; Qiao Kong; Qinghui Ge,11819,4,2,4,5,4,4,4,6,1,,,,3,,37,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,120B,001,Physical Chemistry,Chenlu Xie; Jonathan Weisberg; Phillip Geissler; Pratima Satish; Sumana Raj,11828,2,21,26,13,17,17,24,13,6,,,,1,1,145,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,125,001,Phys Chem Lab,Stephen Leone,11834,3,7,5,2,4,3,6,2,4,,,,,,37,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,C130,001,Biophysical Chem,David Savage; John Kuriyan,11846,,3,1,4,2,,2,1,,,,,,,14,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,135,001,Chemical Biology,Evan Miller; Julia Lazzari-Dean; Rishikesh Kulkarni; Vincent Grenier,11885,4,6,9,10,7,26,15,7,9,10,6,1,7,,118,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,C138,001,Energy From Biomass,Wenjun Zhang,11888,1,5,5,2,2,1,,,,,,,,,16,,,,,,,,
2015 Fall,Chemistry,CHEM,Chemistry,143,001,Nuclear Chemistry,Jeffrey Kwarsick; Luciano Moretto,11891,1,1,2,,1,1,1,,2,,,,,,13,,,,,,,,
2015 Fall,City & Regional Planning,CY PLAN,City & Regional Planning,98,001,Directed Group Stdy,Carol Galante,14253,,,,,,,,,,,,,,,17,,,,,,,,
2015 Fall,City & Regional Planning,CY PLAN,City & Regional Planning,98,002,Directed Group Stdy,Charisma Acey,14256,,,,,,,,,,,,,,1,11,,,,,,,,
2015 Fall,City & Regional Planning,CY PLAN,City & Regional Planning,110,001,Intro To City Plng,Ricardo Huerta,14259,3,45,21,18,11,4,5,6,,1,,,,,125,,,,,,,,
2015 Fall,City & Regional Planning,CY PLAN,City & Regional Planning,113B,001,Commty & Econ Dev,Sara Hinkley,14276,5,20,13,11,6,3,2,2,2,,,,5,1,70,,,,,,,,
2015 Fall,City & Regional Planning,CY PLAN,City & Regional Planning,119,001,Plng Sustainability,Charisma Acey,14355,3,58,5,5,1,1,,,,,,,1,3,77,,,,,,,,
2015 Fall,City & Regional Planning,CY PLAN,City & Regional Planning,140,001,Citybldg/Placemkg,John Ellis; Vincent Agoe; Yasir Hameed,14358,27,39,6,4,,,,,,,,,,1,78,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,24,003,Freshman Seminars,Evan Variano,14658,,7,4,2,,,,,,,,,,,16,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,C30,002,Intro Solid Mechncs,Francisco Armero,14671,2,7,12,6,16,7,3,6,6,1,2,,1,,69,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,60,001,Civil Engrg Matls,Claudia Ostertag,14683,,8,10,16,10,10,5,3,2,,,,,,66,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,70,001,Engineering Geology,Robert Kayen,14695,9,12,9,20,11,5,7,1,,1,2,,2,,80,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,93,001,Engrg Data Analysis,Joan Walker,14713,2,10,6,7,11,,1,1,,,,,,1,39,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,98,003,Directed Group Stdy,Filippos Filippou; Lillian Fan,14731,,,,,,,,,,,,,,,11,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,100,001,Elem Fluid Mechanic,Evan Variano,14752,,5,15,26,18,7,1,,,,,,,,73,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,111,001,Environmental Engin,William Nazaroff,14764,1,18,18,14,10,13,5,3,4,,,,1,,90,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,113N,001,Ecol Eng Wat Qual,Kara Nelson,14773,2,6,3,6,6,2,,1,1,,,,,,28,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,115,001,Water Chemistry,David Sedlak,14779,,7,7,6,6,2,3,2,,,1,,1,1,37,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,122N,001,Design Steel Struct,Abolhassan Astaneh-Asl,14785,1,6,18,3,1,,1,1,,,,,,,31,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,123N,001,Rc Structures,David Kren,14788,1,13,10,4,9,2,2,1,2,,,,,,44,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,124,001,Timber Design,Ian Kelso,14791,14,17,4,2,2,,,,,1,1,,,,41,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,153,001,Trans Fac Design,Jasenka Rakas,14794,1,33,1,,1,,,,,,,,,,37,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,167,001,Eng Project Mgmt,Charles Ibbs,14800,,8,2,2,6,5,2,12,,,2,,,,42,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,173,001,"Groundwater,Seepage",Yoram Rubin,14803,4,8,3,6,3,2,2,,,,,,1,,29,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,175,001,Geot Geoenv Engrg,Michael Riemer; Raymond Seed,14809,4,16,14,10,8,1,,,,,,,,,53,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,C178,001,Applied Geophysics,James Rector,14815,,6,3,3,4,,,,,,,,,,16,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,186,001,Cyb Phys Design,Scott Moura,14818,1,26,2,,,,,2,,,,,,,31,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,191,001,Cee System Analysis,Raja Sengupta,14821,2,15,7,14,4,2,5,,,,,,2,,52,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,192,001,Art/Sci Of Practice,Steven Glaser,14830,19,23,5,2,1,1,,,,,,,1,,52,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,198,004,Directed Group Stdy,Anthony Salguero; Claudia Ostertag,14860,,,,,,,,,,,,,,,16,,,,,,,,
2015 Fall,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,198,005,Directed Group Stdy,Hayley Proctor; Jack Moehle,14863,,,,,,,,,,,,,,,14,,,,,,,,
2015 Fall,Classics,CLASSIC,Classics,10A,001,Intro Greek Civ,Donald Mastronarde,15253,1,29,23,19,11,7,1,2,1,1,,,2,,130,,,,,,,,
2015 Fall,Classics,CLASSIC,Classics,17A,001,Elem Greek Arch,Kim Shelton,15274,1,5,7,5,8,4,,2,1,,,1,,,45,,,,,,,,
2015 Fall,Classics,CLASSIC,Classics,29,001,Greco-Roman Magic,Trevor Murphy,15286,,5,6,3,3,2,,2,,,,,,,32,,,,,,,,
2015 Fall,Classics,CLASSIC,Classics,R44,001,Roots Western Civ,Dylan Sailor; Ellen Oliensis,15289,1,27,23,21,19,3,2,,,,,,1,,101,,,,,,,,
2015 Fall,Classics,CLASSIC,Classics,130,001,Topics,Lisa Pieraccini,15328,,10,3,2,3,2,,1,,,,,,,24,,,,,,,,
2015 Fall,Classics,CLASSIC,Classics,130,002,Topics,Yasmin Syed,15331,1,14,1,,,,,,,,,,,,22,,,,,,,,
2015 Fall,Classics,GREEK,Greek,1,001,Elementary Greek,Nikolaos Papazarkadas,15603,1,4,,1,,,,,,,,,,,11,,,,,,,,
2015 Fall,Classics,GREEK,Greek,1,002,Elementary Greek,Morgan King; Nikolaos Papazarkadas,15606,,4,,3,2,,,,,,,,,,10,,,,,,,,
2015 Fall,Classics,GREEK,Greek,100,001,Attic Prose,Giovanni Ferrari,15624,3,3,4,,1,1,1,,,,,,,,14,,,,,,,,
2015 Fall,Classics,LATIN,Latin,1,002,Elementary Latin,Aaron Brown; Kathleen Mccarthy,15806,1,6,4,2,,,,,,,,,,,16,,,,,,,,
2015 Fall,Classics,LATIN,Latin,10,001,Intens Elem Latin,Joel Street; Kathleen Mccarthy,15818,,7,1,,,,,,,,1,,,,10,,,,,,,,
2015 Fall,Classics,LATIN,Latin,100,001,Republican Prose,Tom Recht,15833,1,4,2,1,,,,1,,,,,1,,11,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,1,001,Grammar/Vocabulary,Nancy Hunt,16403,,,,,,,,,,,,,,,12,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,1,002,Grammar/Vocabulary,Nancy Hunt,16406,,,,,,,,,,,,,,,11,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,002,College Writing 1a,Jordan Ruyle,16415,,1,2,5,1,,1,1,,2,,,,,13,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,003,College Writing 1a,Benjamin Spanbock,16418,,,1,4,5,3,,1,,,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,004,College Writing 1a,Jonathan Lang,16421,,2,2,1,2,1,1,,,,,,1,,11,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,005,College Writing 1a,Michael Larkin,16424,,3,1,4,3,3,,,,,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,006,College Writing 1a,Donnett Flash,16427,,,,3,3,2,2,,1,,,,,,11,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,007,College Writing 1a,Michael Larkin,16430,,,3,7,2,1,,,,1,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,008,College Writing 1a,Catherine Oakes,16433,,,2,4,6,1,,,,1,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,009,College Writing 1a,Michelle Baptiste,16436,,5,,2,1,1,1,1,,,1,,1,,13,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,010,College Writing 1a,Ryan Sloan,16439,,3,1,4,4,,,2,,,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,011,College Writing 1a,Benjamin Spanbock,16442,,,5,1,5,2,1,,,,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,016,College Writing 1a,Mary Grover,16457,,4,,1,4,,1,1,,1,,,,,12,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,017,College Writing 1a,Carolyn Hill,16460,,2,2,3,1,5,1,,,,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,018,College Writing 1a,Patricia Steenland,16463,,2,2,5,1,,1,,1,,,,,,13,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,019,College Writing 1a,David Wiese,16466,3,2,,2,3,,,1,,,,,2,,13,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,020,College Writing 1a,Chisako Cole,16469,,1,3,3,3,,1,,,,,,,,11,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,024,College Writing 1a,Patricia Steenland,16481,,1,4,3,2,,1,1,,,1,,,,13,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,026,College Writing 1a,Teri Crisp,16487,,3,2,3,1,,,1,,,,,,,10,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R1A,027,College Writing 1a,Kimberly Freeman,16489,,,2,4,3,1,,1,,1,,,2,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,004,"Read,Comp,Research",Jonathan Lang,16499,,1,3,1,4,3,3,,,,,,,1,17,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,006,"Read,Comp,Research",John Levine,16505,,5,5,2,3,,,,,,,,1,,16,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,007,"Read,Comp,Research",Tiffani Howell,16508,,7,2,2,,1,,,,,,,,,12,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,008,"Read,Comp,Research",Kimberly Freeman,16511,,8,8,1,,,,,,,,,,,17,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,009,"Read,Comp,Research",Teri Crisp,16514,1,6,1,5,,1,,,,,,,1,2,17,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,010,"Read,Comp,Research",Daniel Husman,16517,1,4,3,5,1,,,,,,,,1,,15,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,011,"Read,Comp,Research",John Levine,16520,,3,3,5,4,1,1,,,,,,,,17,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,013,"Read,Comp,Research",Linda Jensen Darling,16526,2,2,3,1,2,1,,,,,1,,,,13,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,014,"Read,Comp,Research",Stephanie Bobo,16529,3,4,5,2,,,,,,,,,,,14,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,015,"Read,Comp,Research",Jessica Jacobs,16532,,13,6,,,,,,,,,,,,19,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,016,"Read,Comp,Research",Jessica Jacobs,16535,,9,9,,,,,,,,,,,,18,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,R4B,017,"Read,Comp,Research",Peter Jones,16538,,11,5,2,,,,,,,,,,,18,,,,,,,,
2015 Fall,College Writing Programs,COLWRIT,College Writing Programs,10A,001,Public Speaking,Barrie Roberts,16544,1,9,5,1,,,,,,,,,,,16,,,,,,,,
