Grade Distribution for Spring 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Spring,Architecture,ENV DES,Environmental Design,4C,001,Future Ecologies,Jennifer Wolch; Kristina Hill; M Ubbelohde,28888,,4,9,3,5,3,1,,,,,,,3,,5,,,33
2014 Spring,Architecture,ENV DES,Environmental Design,11A,001,Intro Vis Rep Draw,Darell Fields,28771,,2,2,8,14,5,2,5,3,,,,2,1,,,,1,45
2014 Spring,Architecture,ENV DES,Environmental Design,11B,001,Intro To Design,Keith Plymale,28789,,4,2,6,1,2,,1,,,,,,,,,,,16
2014 Spring,Architecture,ENV DES,Environmental Design,100,001,The City,Marco Cenzatti,28816,12,23,33,25,17,12,,1,1,,,,,21,,2,,,147
2014 Spring,Architecture,ENV DES,Environmental Design,101A,001,Short Compositions,Raymond Lifchez,28834,2,7,,,,1,,,,,,,,,,,,,10
2014 Spring,Architecture,ENV DES,Environmental Design,C169B,001,"Am Landscape,1900--",Paul Groth,28837,1,6,1,1,3,1,,,,,,,,1,,,,,14
2014 Spring,Architecture,ENV DES,Environmental Design,198,004,Directed Group Stdy,Arami Matevosyan; Keith Plymale,28876,,,,,,,,,,,,,,10,,1,,,11
2014 Spring,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04153,2,11,1,1,,,,,,,,,,,,,,,15
2014 Spring,Architecture,VIS STD,Visual Studies,187A,001,Freehand Drawing,Jean Bourdier,04159,1,3,5,1,1,,,,,,,,,,,,,,11
2014 Spring,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04303,13,46,12,7,2,3,,,,,,,,1,,1,,,85
2014 Spring,Art Practice,ART,Art Practice,12,001,Lang Of Draw,Lordy Rodriguez,04315,,7,3,6,1,2,,,,,,1,,1,,,,,21
