Grade Distribution for Fall 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 2/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2016 Fall,Art Practice,ART,Art Practice,119,1,Gpca,Jenifer Wofford,13074,2,5,4,,5,1,,1,,1,,,,,,,,,19
2016 Fall,Art Practice,ART,Art Practice,123,1,Screenprinting,Randy Hussong,32494,,11,,3,1,,,,,,,,,,,,,,15
2016 Fall,Art Practice,ART,Art Practice,132,1,App To Sculp Ceram,Stacy Jo Scott,13038,2,5,4,2,1,,,,,,,,,,1,,,,15
2016 Fall,Art Practice,ART,Art Practice,133,1,Meaning/Material,Brody Reiman,13056,2,10,1,,,,,,,,,,,,,,,,13
2016 Fall,Art Practice,ART,Art Practice,163,1,Social Practice,Stephanie Syjuco,12965,4,10,2,,,,,,,,,,,,,,,,16
2016 Fall,Art Practice,ART,Art Practice,171,1,Digital Video,Azin Seraj,12987,1,5,2,2,3,,,,,,,,,2,,1,,,16
2016 Fall,Art Practice,ART,Art Practice,173,1,Sound Art,Christopher Kubick,12966,,7,8,3,,1,,,,,,,,,,,,,19
2016 Fall,Art Practice,ART,Art Practice,184,1,Jr Seminar,Brody Reiman,12994,1,9,1,3,,,,,,,,,,,,,,1,15
2016 Fall,Art Practice,ART,Art Practice,185,1,Sn Projects,,12989,1,7,4,,,,,,,,,,,,,,,,12
2016 Fall,Art Practice,ART,Art Practice,185,2,Sn Projects,Asma Kazmi,34519,6,1,3,1,,,,,,,,,,,,,,,11
2016 Fall,Art Practice,ART,Art Practice,198,1,Directed Group Stdy,John Mcnamara,13043,,,,,,,,,,,,,,15,,1,,,16
2016 Fall,Art Practice,ART,Art Practice,198,2,Directed Group Stdy,Greg Niemeyer,13044,,,,,,,,,,,,,,29,1,,,,30
2016 Fall,Astronomy,ASTRON,Astronomy,7A,1,Intro Astrophysics,Eugene Chiang,13408,1,7,7,8,13,8,5,2,1,,,,,9,,1,,1,63
2016 Fall,Astronomy,ASTRON,Astronomy,C10,1,General Astronomy,Jacob Duncan,13292,51,124,58,28,54,12,11,6,4,,1,,,295,,24,,4,672
2016 Fall,Astronomy,ASTRON,Astronomy,C13,1,Origins Big Bang,Eliot Quataert,31642,4,14,7,6,5,2,,,,,1,,,30,,3,,,72
2016 Fall,Astronomy,ASTRON,Astronomy,120,101,Opt & Ir Astro Lab,Gaspard Duchene,32445,2,3,6,2,2,3,2,,,,,,,,,,,,20
2016 Fall,Astronomy,ASTRON,Astronomy,160,1,Stellar Physics,Eliot Quataert,13377,2,4,2,3,8,3,1,2,1,,,,,2,,2,,,30
2016 Fall,Astronomy,ASTRON,Astronomy,C162,1,Planetary Astrophys,Imke De Pater,13361,1,9,3,3,5,,,1,,,,,1,,,,,,23
2016 Fall,Bioengineering,BIOENG,Bioengineering,10,1,Intro/Biomed Engin,Terry Johnson,26247,3,84,40,4,5,1,,,,1,,1,,,,,,,139
2016 Fall,Bioengineering,BIOENG,Bioengineering,24,1,Aspects Of Bioeng,Hayley Lam,26284,,,,,,,,,,,,,,248,,2,,,250
2016 Fall,Bioengineering,BIOENG,Bioengineering,100,1,Ethics In Sci &,Hayley Lam,26397,24,74,2,2,1,1,,1,,,,,1,9,,,,,115
