UC Berkeley Spring 2007 Course Grades,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
CHINESE, 010BX,006,INTERMED CHINESE MA,"CHANG, H          ",0,8,2,1,2,1,0,0,0,0,0,0,0
CHINESE, 100B,001,ADVANCED CHINESE   ,"CHANG, H          ",0,12,5,1,1,0,0,0,0,0,0,0,0
CHINESE, 100BX,001,ADV CHINESE MANDAR ,"LI, I             ",0,8,4,0,2,1,0,0,0,0,0,0,0
CHINESE, 100BX,002,ADV CHINESE MANDAR ,"DONG, T           ",0,10,7,2,1,0,0,0,0,0,0,0,0
CHINESE, 102,001,4TH YR READ-SOC/HIS,"LI, I             ",0,9,7,2,0,0,0,0,0,0,0,0,0
CHINESE, 110B,001,LITERARY CHINESE   ,"VARSANO, P M      ",2,7,5,4,4,2,1,0,0,0,0,0,0
CHINESE, 112,001,5TH-YEAR CHINESE B ,"LI, I             ",0,8,7,0,3,0,0,0,0,0,0,0,0
CHINESE, 155,001,VERN CHINESE LIT   ,"ASHMORE, R        ",0,2,7,4,3,0,0,0,0,0,0,0,1
CHINESE, 161,001,STRUCT CHINESE LANG,"CHEN, Z           ",1,10,5,4,6,0,0,0,0,0,0,0,1
CHINESE, 186,001,CONFUCIUS & INTREPR,"HELLER, N L       ",0,7,2,0,3,0,0,0,0,0,0,0,2
CHM ENG, 142,001,CHEM KIN REACT ENG ,"BELL, A T         ",2,8,7,10,12,20,13,7,5,0,2,0,1
CHM ENG, 150A,001,"TRANS: FLUIDS, HEAT","BLANCH, H W       ",4,15,4,19,21,8,0,10,2,0,0,0,0
CHM ENG, 154,001,CHEM ENG LABORATORY,"NEWMAN, J S       ",3,11,5,9,8,7,0,5,0,0,0,0,0
CHM ENG, 157,001,TRANSPORT LAB      ,"SCHAFFER, D       ",6,10,9,5,11,10,3,0,0,0,0,0,0
CHM ENG, 160,001,CHEM PROCESS DESIGN,"WALLMAN, P        ",2,21,7,6,8,5,1,1,0,0,0,0,0
CHM ENG, 162,001,DYN CONTR CHEM PROC,"KEASLING, J D     ",1,13,8,14,8,7,2,0,0,0,0,0,0
CHM ENG, 179,001,SOLID STATE DEVICES,"GRAVES, D B       ",2,5,4,3,4,4,0,1,0,0,0,0,0
CHM ENG, 185,001,TECH COMMUNICATION ,"PLOUFFE, P B      ",1,3,5,8,0,0,0,0,0,0,0,0,0
CHM ENG, 185,002,TECH COMMUNICATION ,"PLOUFFE, P B      ",0,3,5,2,1,0,0,0,0,0,0,0,0
CHM ENG,C170L,001,BIOCHEM ENG LAB    ,"CLARK, D S        ",4,9,3,3,3,0,0,0,0,0,0,0,0
CIV ENG, 060,001,CIVIL ENGRG MATLS  ,"MONTEIRO, P J     ",3,17,8,8,17,7,0,1,0,0,0,0,2
CIV ENG, 070,001,ENGINEERING GEOLOGY,"JOHNSON, K A      ",0,15,15,8,10,7,6,6,1,0,0,0,0
CIV ENG, 093,001,ENGRG DATA ANALYSIS,"DER KIUREGHIAN, A ",2,4,5,8,10,14,6,3,7,0,0,0,2
CIV ENG, 111,001,ENVIRONMENTAL ENGIN,"NAZAROFF, W W     ",2,7,7,5,21,12,8,4,3,0,2,0,0
CIV ENG, 120,001,STRUCTURAL ENGRG   ,"STOJADINOVIC, B   ",4,7,16,9,6,8,4,3,0,0,0,1,0
CIV ENG, 122,001,DESIGN STEEL STRUCT,"ASTANEH-ASL, A    ",3,8,17,3,0,0,0,0,0,0,0,0,0
CIV ENG, 123,001,DES REINF CON STRUC,"MOEHLE, J P       ",0,8,5,3,11,5,1,3,0,0,0,0,0
CIV ENG, 130,001,MECHS OF MATS I    ,"ARMERO, F         ",3,7,10,11,6,14,11,12,7,1,3,5,5
CIV ENG, 130,002,MECHS OF MATS I    ,"LUBLINER, J       ",3,10,6,12,8,13,6,3,3,0,0,0,3
CIV ENG, 155,001,TRANS SYS ENGRG    ,"CASSIDY, M J      ",0,7,14,11,16,5,4,11,5,0,0,1,1
CIV ENG, 165,001,CONCRETE MAT/CONS  ,"MONTEIRO, P J     ",3,30,20,10,5,2,5,1,0,0,1,0,0
CIV ENG, 167,001,ENG PROJECT MGMT   ,"IBBS, C W         ",1,12,10,8,10,19,7,5,5,0,0,0,0
CIV ENG, 169A,001,WEB-BASED SYSTEMS  ,"TOMMELEIN, I D    ",0,11,10,2,5,0,0,0,0,0,0,0,0
CIV ENG, 169B,001,WEB-BASED SYSTEMS  ,"TOMMELEIN, I D    ",0,6,8,6,3,1,2,0,0,0,0,0,0
CIV ENG, 169C,001,WEB-BASED SYSTEMS  ,"TOMMELEIN, I D    ",0,7,5,3,3,1,3,0,0,0,0,0,0
CIV ENG, 170,001,"ENERGY, ECOSYS/HUM ","PATZEK, T         ",6,6,2,2,1,0,1,0,0,0,0,0,0
CIV ENG, 172,001,INTRO TO ROCK MECH ,"GLASER, S D       ",0,3,2,4,2,4,1,0,2,0,0,0,0
CIV ENG, 175,001,GEOT GEOENV ENGRG  ,"SEED, R B         ",2,12,16,7,11,5,1,0,0,0,0,0,0
