Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,010,College Writing 1a,Mary Grover,16442,,,2,3,3,,,1,,1,,,,,,,,,10
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,012,College Writing 1a,Ryan Sloan,16448,,,2,3,3,4,1,,,,,,,,,,,,13
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,013,College Writing 1a,Margi Wald,16451,,2,2,2,3,1,1,,,,,,1,,,,,1,13
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,015,College Writing 1a,Catherine Oakes,16457,,,2,1,6,1,,,,1,,,,,,,,,11
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,017,College Writing 1a,Carolyn Hill,16463,,,3,3,2,3,1,1,,,,,1,,,,,,14
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,018,College Writing 1a,John Levine,16466,,,,6,4,,,1,,,,,,,,,,1,12
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,020,College Writing 1a,Catherine Oakes,16472,,,2,5,1,2,,,,,,,,,,,,,10
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,021,College Writing 1a,Gail Offen-Brown,16475,,2,3,2,,2,3,1,,,,,,,,,,,13
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R1A,024,College Writing 1a,Teri Crisp,16484,,4,1,1,3,,,,,,1,,,,,,,1,11
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,003,"Read,Comp,Research",Jonathan Lang,16496,,2,,3,2,1,3,1,1,1,,,,,,1,,,15
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,004,"Read,Comp,Research",Michael Larkin,16499,,10,1,3,,,1,1,,,,,,,,,,1,17
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,005,"Read,Comp,Research",Daniel Husman,16502,,2,2,7,3,1,,,1,,,,,,,,,,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,006,"Read,Comp,Research",Yuet-Sim Chiang,16505,,2,6,2,2,,,,,,,,,,,,,,12
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,007,"Read,Comp,Research",Teri Crisp,16508,2,4,3,4,2,,,,,,,,,1,,,,,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,008,"Read,Comp,Research",Patricia Hammons,16511,,12,1,1,,,1,,1,,,,,,,,,,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,009,"Read,Comp,Research",Patricia Steenland,16514,,2,5,,5,2,,,,,,,1,,,1,,,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,010,"Read,Comp,Research",Kimberly Freeman,16516,,6,5,3,1,,,1,,,,,,,,,,,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,012,"Read,Comp,Research",Michael Larkin,16595,,7,3,5,,,,,,,,,,,,,,,15
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,013,"Read,Comp,Research",Gail Offen-Brown,16598,1,6,3,1,2,,1,1,,,,,,,,,,,15
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,R4B,014,"Read,Comp,Research",Michelle Baptiste,16601,,9,4,,1,1,,1,,,,,,,,,,,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,10A,001,Public Speaking,Donnett Flash,16520,,3,8,,,,,,,,,,,2,,,,,13
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,10A,002,Public Speaking,Donnett Flash,16522,,7,5,,,,,,,,,,,2,1,,,1,16
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,10A,003,Public Speaking,Donnett Flash,16604,,4,6,4,,,,,,,,,,1,,,,,15
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,25AC,001,Read Us Educ Insts,Margaret Sokolik,16529,,20,3,,,,,1,,,,,,2,,1,,,27
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,98,001,Directed Group Stdy,Livia Arianna Bankler-Jukes; Margaret Sokolik; Skylar Economy,16535,,,,,,,,,,,,,,33,,2,,,35
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,106,001,Int Comp: Argument,Carolyn Hill,16553,,9,1,,1,1,,,,,,,,2,,,,,14
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,110,001,Advanced Comp,Patricia Hammons,16556,,18,2,2,,,1,,,,,,,,1,,,,24
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,130,001,Intro Creative Writ,John Levine; Michael Larkin; Stephen Tollefson,16562,,9,7,2,1,,,,,,,,,1,,,,,20
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,151,001,Intro To Prof Wtng,Caroline Cole,16568,,8,4,3,,,,3,,,,,,,,,,,18
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,161,001,Writing In Bio Sci,Kimberly Freeman,16573,,5,5,1,,,,,,,,,,,,,,,11
2015 Spring,College Writing Programs,COLWRIT,College Writing Programs,198,001,Directed Group Stdy,Livia Arianna Bankler-Jukes; Margaret Sokolik; Skylar Economy,16574,,,,,,,,,,,,,,22,,3,,,25
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1A,001,Engl Comp World Lit,Nina Estreich; Victoria Kahn,17203,,1,3,9,4,,,,,,,,,,,,,,17
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1A,002,Engl Comp World Lit,Kirsten Schwartz,17206,,5,5,4,4,,,,,,,,,,,,,,18
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1A,003,Engl Comp World Lit,Ashley Brock; Victoria Kahn,17209,,1,2,5,9,,,,1,,,,,,,,,,18
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1A,004,Engl Comp World Lit,Brian Clancy; Victoria Kahn,17212,,2,1,4,4,2,,,,,,,,,,,,1,14
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1A,005,Engl Comp World Lit,Tyleen Kelly; Victoria Kahn,17214,,,4,5,1,1,2,1,,,,,1,,,,,1,16
