UC Berkeley Spring 2009 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
CHINESE, 001BX,004,ELEM CHINESE MANDAR,"LIU, L            ",0,9,5,0,0,0,0,0,0,0,0,0,0
CHINESE, 001BY,001,ELEM CHINESE DIALEC,"LIU, D            ",0,6,5,2,1,0,0,0,0,0,0,0,0
CHINESE, 001BY,002,ELEM CHINESE DIALEC,"LIU, D            ",0,10,5,1,0,0,0,0,0,0,0,0,0
CHINESE, 001BY,003,ELEM CHINESE DIALEC,"LIU, D            ",0,14,2,2,1,0,0,0,0,0,0,0,0
CHINESE, 007B,001,MODERN CHINESE LIT ,"SCHAEFER, W       ",0,4,13,11,4,7,4,0,0,0,1,0,0
CHINESE, 010B,002,INTER CHINESE      ,"HUANG, L          ",0,6,0,5,2,2,0,0,1,0,0,0,0
CHINESE, 010B,003,INTER CHINESE      ,"HUANG, L          ",0,3,7,3,1,1,0,1,0,0,0,0,0
CHINESE, 010BX,002,INTERMED CHINESE MA,"LIU, X            ",0,7,2,4,0,0,0,0,0,0,0,0,0
CHINESE, 010BX,003,INTERMED CHINESE MA,"LIU, D            ",0,6,7,3,0,2,0,0,0,0,0,0,0
CHINESE, 010BX,004,INTERMED CHINESE MA,"LIU, D            ",0,7,5,4,1,1,0,0,0,0,0,0,0
CHINESE, 010BX,005,INTERMED CHINESE MA,"ZHANG, L          ",0,12,1,3,0,0,0,0,0,0,0,0,0
CHINESE, 010BX,006,INTERMED CHINESE MA,"ZHANG, L          ",0,12,5,2,3,1,0,0,0,0,0,0,0
CHINESE, 100BX,001,ADV CHINESE MANDAR ,"LI, I             ",0,5,8,1,0,1,0,0,0,0,0,0,0
CHINESE, 100BX,002,ADV CHINESE MANDAR ,"CHIH, Y           ",0,5,3,2,1,0,0,0,0,0,0,0,0
CHINESE, 100BX,003,ADV CHINESE MANDAR ,"CHIH, Y           ",0,5,4,4,2,1,0,0,0,0,0,0,0
CHINESE, 100BX,004,ADV CHINESE MANDAR ,"SHIAO, Y          ",0,3,7,0,1,0,0,0,0,0,0,0,0
CHINESE, 102,001,4TH YR READ-SOC/HIS,"LI, I             ",0,7,6,3,0,0,0,0,0,0,0,0,0
CHINESE, 102,002,4TH YR READ-SOC/HIS,"SHIAO, Y          ",0,14,2,1,0,0,0,0,0,0,0,0,0
CHINESE, 110B,001,LITERARY CHINESE   ,"RUDOLPH, D M      ",2,3,5,3,6,0,0,0,0,0,0,0,0
CHINESE, 112,001,5TH-YEAR CHINESE B ,"LI, I             ",0,10,7,2,0,0,0,0,0,0,0,0,0
CHINESE, 130,001,TOPICS IN TAOISM   ,"CSIKSZENTMIHALYI, ",0,8,2,2,2,0,0,1,0,0,0,0,0
CHINESE, 155,001,VERN CHINESE LIT   ,"ASHMORE, R        ",0,9,7,1,0,0,0,0,0,0,0,0,0
CHINESE, 156,001,MODERN CHINESE LIT ,"JONES, A F        ",0,2,10,5,6,0,0,0,0,0,0,0,0
CHINESE, 165,001,HIST CHINESE LANG  ,"CHEN, Z           ",0,4,6,4,5,2,2,0,0,0,0,0,0
CHINESE, 186,001,CONFUCIUS & INTREPR,"CSIKSZENTMIHALYI, ",0,13,5,3,1,1,0,0,0,0,0,0,0
CHM ENG, 141,001,CHEM ENG THERMO    ,"SMIT, B           ",2,7,10,7,6,5,6,8,5,7,7,10,15
CHM ENG, 142,001,CHEM KIN REACT ENG ,"IGLESIA, E        ",2,15,13,11,17,7,0,20,0,0,3,0,3
CHM ENG, 150A,001,"TRANS: FLUIDS, HEAT","MULLER, S J       ",5,13,11,8,15,14,16,7,2,1,4,0,4
CHM ENG, 154,001,CHEM ENG LABORATORY,"BALSARA, N P      ",1,16,4,4,10,5,0,2,0,0,0,0,0
CHM ENG, 157,001,TRANSPORT LAB      ,"BELL, A T         ",0,7,2,15,8,5,2,1,0,0,2,0,0
CHM ENG, 160,001,CHEM PROCESS DESIGN,"UPADHYE, R S      ",0,4,5,8,13,9,6,1,0,0,0,0,0
CHM ENG, 162,001,DYN CONTR CHEM PROC,"WALLMAN, P        ",1,17,8,8,11,2,2,8,0,0,0,0,0
CHM ENG, 171,001,TRANSPORT PHENOMENA,"RADKE, C J        ",1,6,3,1,3,2,1,0,0,0,0,0,0
CHM ENG, 179,001,SOLID STATE DEVICES,"GRAVES, D B       ",2,3,3,8,7,5,0,1,1,0,0,0,0
CHM ENG,C170L,001,BIOCHEM ENG LAB    ,"MATTOZZI, M       ",0,1,2,2,4,1,0,1,0,0,0,0,0
