Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
GERMAN,2,50620,001,Elementary German 2,Carolyn Hawkshaw; Nikolaus Euba,under,0,6,4,1,0,0,0,0,0,0,0,0,0,4,0
UGBA,120B,19320,001,Adv Fin Accounting,Tiffany Rasmussen,under,0,6,3,2,2,3,1,0,0,0,0,0,1,3,0
MUSIC,128R,67790,001,Jazz In America,David Milnes,under,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0
COMPSCI,160,28903,001,User Interfaces,Daniel Garcia; Valkyrie Savage,under,2,8,12,13,10,6,2,2,0,0,1,0,1,0,0
ESPM,50AC,46005,001,Intro Cult/Res Mgt,Kenneth Worthy,under,0,20,6,7,1,3,2,1,0,1,0,0,2,12,0
COLWRIT,9B,27230,001,Esp Acad Vocab,James Seger; Margi Wald,under,0,14,1,0,0,0,0,0,0,0,0,0,1,2,0
HISTART,N182,14630,001,Hist Of Photography,Alexandra Courtois De Vicose; Andrew Stewart,under,0,8,5,1,1,3,0,1,1,0,0,1,4,0,2
CHEM,3A,22195,001,Chem Struct React,Steven Pedersen,under,6,23,20,33,37,13,31,18,15,0,14,0,12,4,8
ECON,N181,32575,001,Internat'L Trade,Calanit Kamala,under,4,16,4,6,6,3,4,3,0,0,0,0,5,9,0
PLANTBI,C112,76020,001,Gen Microbiology,Kathleen Ryan,under,0,2,1,3,3,4,4,1,2,0,1,0,0,0,0
COLWRIT,6F,27035,003,Esl Listen Speak,Margi Wald; Ruth Acker,under,3,2,7,0,0,0,0,0,0,0,0,0,0,5,0
PHILOS,2,73005,001,Ind Moral/Soc Just,Gerardo Vildostegui; John Macfarlane,under,0,6,3,6,1,1,1,3,1,0,2,0,0,4,0
MATH,98,63825,005,Directed Group Stdy,Michael Wong,under,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
COLWRIT,9C,27240,002,Acad Writ-Multiling,Margi Wald; Nancy Hunt,under,0,4,9,3,0,0,0,0,0,0,0,0,0,1,0
EDUC,39A,33805,001,Fresh/Soph Seminar,Alex De Guia,under,0,3,2,3,3,0,0,0,0,0,0,0,0,2,1
GEOG,N130,50055,001,Food Environment,Kendra Klein,under,0,18,6,0,0,0,0,0,1,0,0,0,0,0,0
COLWRIT,6E,27015,001,Esl Grammar Editing,Margi Wald; Matthew Barclay,under,6,10,0,0,0,1,0,0,0,0,0,0,0,2,0
ARCH,108,13305,001,Arch Internship,Mark Schatz,under,4,6,1,4,0,0,0,0,0,0,0,0,0,4,0
LEGALST,182,61195,001,"Law, Politics & Soc",Malcolm Feeley,under,0,1,4,5,4,4,4,2,0,0,0,0,1,3,1
GWS,111,49420,002,Special Topics,Charis Thompson; Giancarlo Cornejo Salinas,under,0,6,2,0,1,0,0,0,0,0,0,0,0,3,2
PHILOS,12A,73055,002,Intro To Logic,Ethan Nowak; John Macfarlane,under,9,7,8,3,0,2,1,2,0,1,0,2,1,6,4
MCELLBI,C112,66360,001,Gen Microbiology,Kathleen Ryan,under,1,1,5,1,4,5,3,1,0,0,1,0,1,0,0
COLWRIT,9A,27225,002,Esp Acad Research,Chisako Cole; Margi Wald,under,0,7,4,3,0,1,0,1,0,0,0,0,3,0,0
ENGLISH,N117S,44550,001,Shakespeare,Kent Puckett,under,0,17,3,0,0,0,0,0,3,0,0,0,0,1,0
ESPM,169,46105,001,Intnatl Env Politic,William Burns,under,2,6,6,0,1,0,0,0,0,0,0,0,0,1,0
COLWRIT,6H,27055,001,Esl Writing,Elizabeth Wadell; Margi Wald,under,2,14,0,0,0,0,0,0,0,0,0,0,0,3,0
CHEM,N3AL,22200,001,Organic Chem Lab,Steven Pedersen,under,4,80,80,9,13,7,3,3,1,0,0,0,1,0,2
EPS,20,31415,002,Earthquakes,Sean Ford,under,0,21,21,11,11,8,2,3,0,0,0,0,3,7,3
COLWRIT,9N,27365,002,Esp Legal English,Margi Wald; Robert Downey,under,0,8,3,1,0,0,0,1,0,0,0,0,0,3,0
UGBA,120AA,19300,002,Int Fin Acct 1,James Webb,under,0,9,8,2,3,0,0,3,2,0,0,1,1,2,1
BIOLOGY,1A,18005,001,General Biology Lec,James Baxter; Mark Barnby; Michael Meighan,under,1,11,13,11,14,15,17,13,10,0,3,0,1,0,3
MATH,96,63770,001,College Algebra,Michael Wong,under,2,28,13,5,4,5,1,2,0,0,0,0,1,33,15
MATH,16A,63475,002,Anal Geo & Calculus,Mark Haiman; Massoud Malek,under,3,3,2,3,4,0,1,0,0,0,1,0,4,1,5
FRENCH,43A,48865,001,Aspects Fr Culture,Nelly Timmons,under,0,21,2,0,0,0,0,0,0,0,0,0,0,8,0
COLWRIT,7D,27110,002,Food Culture,Margi Wald; Peter Vahle,under,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2
