Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
"A,RESEC",264,01677,001,Emp Energy Env Econ,Meredith Fowlie,grad,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0
GWS,200,33038,001,Theory & Crit Res,Minh-Ha Trinh,grad,5,11,4,0,0,0,0,0,0,0,0,0,0,0,0
ARCH,205B,03995,001,"Studio One, Spring",Kyle Steinfeld,grad,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0
SCANDIN,201B,78853,001,Norse Literature,Jonas Wellendorf,grad,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
MATH,250B,54425,001,Field Theory,Adam Topaz,grad,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0
EL ENG,241B,25232,001,Adv Digital Int Cir,Jan Rabaey,grad,3,11,5,2,0,0,0,0,0,0,0,0,0,0,0
JOURN,298,48144,003,Group Study,Jeremy Rue,grad,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
MCELLBI,291B,59798,G01,Intro To Research,Matthew Welch,grad,4,27,3,0,0,0,0,0,0,0,0,0,0,0,0
SOC WEL,293,80955,001,Soc Welfare Theory,James Midgley,grad,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0
PSYCH,299,74806,001,Research,Ozlem Ayduk,grad,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PUB POL,299,77556,001,Ind Stdy Mst Essay,Hector Cardenas,grad,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0
SPANISH,280,86397,001,Sem Sp Am Lit,Daylet Dominguez,grad,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0
