Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
ENGLISH,31AC,27949,001,Lit Amer Cultures,Nadia Ellis Russell,under,0,6,18,8,9,1,0,1,1,0,0,0,0,13,0
UGBA,137,08485,002,Spec Topics In Fin,Arash Namvar,under,2,3,9,6,4,2,1,0,0,0,0,0,0,1,0
BIO ENG,150,06661,001,Intro To Bio & Bion,Seung-Wuk Lee,under,7,12,0,6,6,0,0,0,0,0,0,0,0,0,1
EDUC,190,24436,001,Crit Studies In Ed,Glynda Hull,under,2,24,5,0,1,0,0,0,0,0,0,0,0,0,0
CHINESE,155,20765,001,Vern Chinese Lit,Sophie Volpp,under,0,4,6,3,1,0,0,0,0,0,0,0,1,1,0
MCELLBI,32L,57542,001,Int Human Phys Lab,Robin Ball,under,6,92,26,5,9,1,0,0,0,0,0,0,0,0,1
MCELLBI,55,57563,001,Plagues Pandemics,P Beatty; Russell Vance,under,2,29,9,9,24,10,2,14,6,0,0,0,3,30,3
BIO ENG,102,06542,001,Biomechanics,Song Li,under,6,23,24,20,4,3,2,1,0,0,0,0,0,0,0
PLANTBI,135,70522,001,Physiol Biochem Pl,Anastasios Melis; Norman Terry,under,18,7,1,7,1,0,1,1,0,2,0,0,0,0,0
BIO ENG,121,06599,001,Biomems & Med Dev,Luke Lee,under,4,22,4,4,1,1,0,0,0,0,0,0,0,0,0
INTEGBI,131L,42216,008,Human Anatomy Lab,Sargis Pogosjans; Thomas Carlson,under,1,7,2,2,6,3,2,4,1,0,0,0,0,0,0
MIL AFF,145A,57106,001,Ntl Security Forces,Alexander Simpson; Mack-Jan Spencer,under,2,2,1,5,3,0,1,0,0,0,0,0,0,1,0
ECON,101A,22504,001,Econ Theory--Micro,David Card,under,9,17,22,10,5,5,2,0,0,0,0,0,4,8,0
SPANISH,R1A,86121,001,Span Speak World,Ignacio Navarrete; Jessica Becker,under,1,5,4,2,1,0,2,0,0,0,0,0,0,0,0
MATH,113,54225,004,Abstract Algebra,Yan Zhang,under,1,3,1,5,8,4,4,5,0,0,0,0,5,0,0
ISF,189,45550,003,Isf Research Method,Renate Holub,under,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0
ASAMST,R2B,05371,001,Reading&Composition,Anna Leong,under,0,5,13,9,2,0,0,0,0,0,0,0,0,0,0
VIETNMS,1A,86006,002,Intro Vietnamese,Bac Tran,under,3,20,3,0,0,0,0,0,0,0,0,0,0,1,0
HISTORY,C175B,39627,001,Jewish Civ Modern,John Efron,under,0,7,7,4,1,0,0,0,0,0,0,0,0,0,1
ASAMST,181,05575,001,Chinese Amer Lit,Fae Ng,under,3,23,1,0,1,0,0,0,0,0,0,0,0,1,0
PORTUG,101B,86621,003,Port Adv Stdy-Wkshp,Brenno Kaneyasu Maranhao; Clelia Donovan,under,1,4,4,3,1,0,1,0,0,0,0,0,0,2,0
UGBA,117,08419,001,Spec Topics In Econ,Nicholas Economides,under,0,0,7,11,3,1,0,0,0,0,0,0,0,3,0
