Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AFRICAM,11B,00563,002,Elementary Swahili,Edwin Okongo,under,2,6,0,4,1,1,1,0,0,0,0,0,0,1,0
PSYCH,166AC,74361,001,Cultural Psychology,Kaiping Peng,under,3,44,66,39,28,18,6,6,1,1,1,0,3,52,2
CHEM,115,11514,001,Organic Chemistry,Robert Bergman,under,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0
RHETOR,157B,77944,001,Contemp Pol Theory,Loren Goldman,under,0,10,7,4,4,0,1,0,0,0,0,0,0,0,0
FILM,25A,31632,001,History Of Film,Mark Sandberg,under,0,3,8,2,5,2,2,1,2,0,1,0,1,1,0
EPS,C182,19087,001,Atmos Chem Phys Lab,Kristie Boering,under,0,2,5,1,3,2,0,0,0,0,0,0,0,0,0
GERMAN,1,37212,004,Elementary German 1,Ashwin Manthripragada; Nikolaus Euba,under,1,9,4,1,0,0,0,0,1,0,0,0,0,4,0
PHYSICS,H7C,69087,001,Scient Engin Phys,Yury Kolomensky,under,2,4,0,3,4,1,2,2,0,0,0,0,0,0,0
PHILOS,141,67313,001,Phil Game Theory,Lara Buchak,under,0,4,4,5,5,2,1,0,1,0,0,0,0,7,2
MCELLBI,150,58286,001,Molecular Immunol,Ellen Robey; Gregory Barton; Laurent Coscoy,under,3,23,17,10,10,8,4,3,3,0,1,0,1,16,9
ENGLISH,180R,28225,001,Romance,Joseph Ring,under,0,9,4,10,7,2,2,0,0,0,0,0,1,3,1
FRENCH,102,32332,001,"Read, Wr In French",Vesna Rodic,under,1,13,3,1,0,0,0,0,0,0,0,0,0,0,1
SOCIOL,101,81723,001,Soc Theory I,Dylan Riley,under,1,8,10,17,20,4,7,5,2,1,0,0,1,0,0
PHYS ED,3,68177,006,Pe Activities,Susanna Li-Jue,under,0,3,2,0,0,0,0,0,0,0,0,0,0,18,0
MATH,98,54073,002,Directed Group Stdy,Michael Wong; Ole Hald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2
THEATER,60,88063,001,Intro Tech Theater,Katherine Mattson,under,8,23,5,0,1,1,2,0,0,0,0,0,2,1,0
