Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
IND ENG,192,13081,001,Bme Bootcamp,Kenneth Singer,under,6,42,2,3,0,0,0,0,0,0,0,0,0,1,0
JOURN,115,14917,001,Adv Multimedia,Jeremy Rue,under,8,42,9,0,1,1,0,0,0,0,0,0,0,0,0
THEATER,10,15817,004,Fund. Of Acting I,Nancy Carlin,under,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0
NUSCTX,W104,14587,001,Food Culture Env,Kristen Rasmussen,under,0,34,9,16,20,0,3,4,1,0,0,1,1,37,10
ENVECON,C176,15546,001,Climate Change Economics,Samuel Evans,under,0,4,5,2,0,0,0,0,1,0,0,0,0,0,0
EA LANG,R1B,14497,001,Reading And Comp,Jianqing Chen; Ling Hon Lam,under,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0
PSYCH,N1,13964,001,General Psychology,Davina Chan,under,56,30,11,8,23,9,8,10,3,1,6,1,5,4,2
ESPM,98,16102,007,Directed Group Stdy,Erica Rosenblum,under,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
ISF,100D,14210,001,Technol & Society,Rakesh Bhandari,under,0,14,6,3,7,3,1,0,0,1,0,0,1,9,0
SOCIOL,160,15323,001,Sociol Of Culture,Caleb Scoville; Laura Enriquez,under,0,7,5,2,3,2,0,0,0,1,0,0,0,1,0
ARABIC,10,13403,001,Intens Elem Arabic,Haitham Mohamed,under,0,9,3,0,0,0,0,0,0,0,0,0,0,3,0
COMPSCI,C8,14720,001,Foundation Data Sci,Daniel Garcia; Frances McQuarrie; Natalia Mushegian,under,5,107,42,37,31,12,13,9,11,0,0,0,4,12,1
ETH STD,N180,13614,001,Sel Top Es Std Abrd,Laura Perez,under,2,7,2,0,0,0,0,0,0,0,0,0,0,3,0
ESPM,105A,15984,002,Sierra Nevada Ecol,Scott Stephens,under,5,15,3,2,3,0,0,0,0,0,0,0,0,0,0
COLWRIT,9V,13541,002,Esp Engl Sci Engin,David Wiese; Harry Seng; Margi Wald,under,0,4,8,2,3,1,0,0,0,0,0,0,0,0,0
MUSIC,20A,14294,002,Basic Musicianship,Andrew Harlan; Cindy Cox,under,0,29,1,2,0,0,0,0,0,0,3,0,0,0,0
PSYCH,149D,15777,001,Ec Policy,Kristen Burmester,under,1,11,7,3,0,1,0,2,0,0,0,0,0,0,0
ENGLISH,173,14254,001,Lang/Lit Of Films,Oliver Arnold; Shanjie Hu; Steven Justice,under,0,13,5,5,3,2,0,0,0,0,0,1,2,3,0
EDUC,W141,16031,001,Exp Digtl Pedagogy,Glynda Hull; Jose Lizarraga,under,3,3,0,0,2,0,0,0,1,0,0,0,2,1,0
ART,26,13409,001,Moving Image: Fdns,Brody Reiman; Leena Joshi,under,2,7,0,0,1,0,0,0,0,0,0,0,1,2,0
LEGALST,138,14098,001,Sup Ct & Pub Pol,Douglas Sangster; Sean Farhang,under,3,5,9,0,0,0,0,0,0,0,0,0,0,0,1
