Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
CIV ENG,C30,1,George Johnson,,4,3,5,4,3,2,3,,2,1,,,,,,,
CIV ENG,C30,2,Shaofan Li,6,2,7,7,5,1,4,5,1,,1,1,2,,,1,,
CIV ENG,60,1,Paulo Monteiro,2,8,7,11,5,8,3,5,,,1,,3,,,2,,
CIV ENG,70,1,Nicholas Sitar,2,4,17,18,11,13,6,4,1,,1,,,,,,,
CIV ENG,92,1,James Rector,,,,,,,,,,,,,,101,,2,,
CIV ENG,93,1,Armen Der Kiureghian,1,6,3,5,7,4,3,1,,,,,,,,,,
CIV ENG,98,4,Ben Hightower; Jasenka Rakas,,,,,,,,,,,,,,7,,4,,
CIV ENG,100,1,Evan Variano,1,30,15,10,4,1,,,,,,,,,,,,
CIV ENG,105,1,Mark Stacey,2,19,3,2,1,,,,,,,,,,,,,
CIV ENG,111,1,William Nazaroff,6,11,12,14,19,14,4,4,1,,1,,1,2,1,,,
CIV ENG,113N,1,Khalid Kadir,1,3,4,,4,2,1,1,,,,,,,,1,,
CIV ENG,114,1,Lisa Alvarez-Cohen,1,6,3,4,4,,2,,1,,,,,1,,,,
CIV ENG,115,1,David Sedlak,2,11,2,10,4,3,1,,,,2,,1,2,,,,
CIV ENG,122N,1,Patrick Hassett,1,8,6,7,8,4,4,1,2,,,,,,,,,
CIV ENG,123N,1,Jack Moehle,6,19,6,5,22,1,,2,,,,,1,,,,,1
CIV ENG,124,1,Mark Stevenson,,6,10,3,6,1,,1,,,,,,,,,,
CIV ENG,153,1,Jasenka Rakas,,27,1,1,3,1,,,,,,,,,,,,
CIV ENG,167,1,Arpad Horvath,3,28,13,3,16,6,3,4,1,,3,1,1,2,1,1,,
CIV ENG,171,1,Steven Glaser,2,2,2,3,2,2,1,,,,,,,,,,,
CIV ENG,173,1,Yoram Rubin,3,6,7,7,3,1,,,,,,,,,1,,,
CIV ENG,175,1,Raymond Seed,1,19,10,5,3,2,2,,,,,,,,,,,
CIV ENG,177,1,Richard Short,8,14,9,8,5,,1,,,,1,,,,,,,
CIV ENG,C178,1,Douglas Dreger; James Rector,,3,7,1,1,,,,,,,,,,,,,
CIV ENG,191,1,Scott Moura,2,7,10,3,3,1,,1,,,,,,,,,,
CIV ENG,192,1,Steven Glaser,,74,4,1,1,,,,1,,,,1,3,,,,
CIV ENG,193,1,Armen Der Kiureghian,2,7,4,9,2,1,,,,,,,,,,,,
CIV ENG,198,3,Filippos Filippou; Thu Hoang Phuong Nguyen,,,,,,,,,,,,,,17,1,,,
CIV ENG,198,4,Ben Hightower; Jasenka Rakas,,,,,,,,,,,,,,19,1,1,,
CLASSIC,10A,1,Mark Griffith,1,13,22,30,19,8,4,,2,,,,1,30,,2,,
CLASSIC,17A,1,Kim Shelton,,8,5,,4,4,,5,5,,,,,12,,1,,
CLASSIC,24,1,Anthony Bulloch,,,,,,,,,,,,,,17,,1,,
CLASSIC,29,1,Trevor Murphy,,12,9,2,1,1,1,,,,,,,4,,,,1
CLASSIC,R44,1,Dylan Sailor; Ellen Oliensis,1,22,28,22,15,3,1,,,,,,6,1,,1,,2
CLASSIC,121,1,Anthony Bulloch,8,20,18,10,4,,1,,,,,,2,6,,2,,
CLASSIC,130,1,Christopher Hallett,,7,3,4,6,,2,3,,,,,1,1,,,,
CLASSIC,161,1,Leslie Kurke,,11,5,1,4,,,,,,,,,1,,,,
GREEK,1,1,Nikolaos Papazarkadas,1,7,2,2,1,,,,,,,,,1,,,,
GREEK,100,1,David Crane,,3,1,2,1,1,1,1,,,,,1,2,,,,1
LATIN,1,2,Eric Driscoll; Kathleen Mccarthy,1,3,1,1,1,1,,,,,,,,2,,,,1
LATIN,1,4,Christopher Adams; Kathleen Mccarthy,1,1,3,1,,,1,1,1,,,,,2,,,,
LATIN,100,1,Daniel Walin,3,9,,,,,,,,,,,,,,,,
LATIN,120,1,Dylan Sailor,,4,2,2,1,,,,1,,,,,1,1,,,
COLWRIT,1,2,Teri Crisp,,,,,,,,,,,,,,15,2,1,,
COLWRIT,1,3,Nancy Hunt,,,,,,,,,,,,,,16,1,1,,
COLWRIT,R1A,1,Caroline Cole,,,2,2,1,2,2,,,,,4,,,,1,,
COLWRIT,R1A,3,Jordan Ruyle,,2,2,1,3,3,,,1,1,1,,,,,,,
COLWRIT,R1A,4,Elizabeth Williams,,2,1,4,2,1,1,1,,1,,,,,,,,
COLWRIT,R1A,5,Michelle Baptiste,,1,3,2,1,3,2,,,,,,,,,,,
