Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
ASTRON,198,1,Gaspard Duchene,,,,,,,,,,,,,,16,,2,,
PUB POL,290,5,Hilary Hoynes,,15,3,,,,,,,,,,,,,,,
MATH,198BC,4,Antonio Montalban; Michael Wan,,,,,,,,,,,,,,13,,5,,
THEATER,R1B,1,Paige Johnson; Susan Kwan,,17,,,,,,,,,,,1,,,,,
EDUC,390D,1,Jacob Disston; Xenia Meyer,,16,,2,,,,,,,,,,,,,,
ITALIAN,R5B,4,Stanley Levers,,11,7,,,,,,,,,,,,,,,
PB HLTH,201E,1,Linda Neuhauser; S. Syme,3,15,,,,,,,,,,,,,,,,
NUSCTX,20,2,Alyssa Thompson; Ruth Schrager,,17,1,,,,,,,,,,,,,,,
ECON,301,2,Martha Olney,,,,,,,,,,,,,,1,17,,,
POL SCI,292,7,Wendy Brown,,2,,,,,,,,,,,,,16,,,
UGIS,187,1,Mark Spencer,2,16,,,,,,,,,,,,,,,,
PB HLTH,266B,1,Peter Dailey,1,17,,,,,,,,,,,,,,,,
JOURN,298,6,Kara Platoni,,17,1,,,,,,,,,,,,,,,
LGBT,198,4,Ayse Agis,,,,,,,,,,,,,,17,,1,,
ART,138,1,Brody Reiman,5,14,,,,,,,,,,,,,,,,
MATH,198BC,1,Catherine Cannizzo; Nikhil Srivastava,,,,,,,,,,,,,,18,,1,,
PHYSICS,198BC,3,Bernard Sadoulet; Victoria Xu,,,,,,,,,,,,,,18,,1,,
ENGLISH,H195B,1,David Marno,6,13,,,,,,,,,,,,,,,,
MATH,250B,1,Richard Borcherds,,18,,,,,,,,,,,,,1,,,
MUSIC,198,1,Andrew Rahman; Edmund Campion,,,,,,,,,,,,,,18,1,,,
HISTART,192DH,1,Justin Underhill,,17,2,,,,,,,,,,,,,,,
PHILOS,198BC,1,Lara Buchak,,,,,,,,,,,,,,15,,4,,
CHEM,98,3,Marcin Majda,,,,,,,,,,,,,,18,,1,,
THEATER,40,1,Latanya Tigner,,16,,,,,,,,,,,,4,,,,
MATH,275,1,Nicolai Reshetikhin,,19,,,,,,,,,,,,,1,,,
ASAMST,198,5,Harvey Dong,,,,,,,,,,,,,,19,1,,,
MATH,98BC,2,Ben Wormleighton; Nikhil Srivastava,,,,,,,,,,,,,,18,,2,,
PHYSICS,198BC,2,Bernard Sadoulet; Trevor Grand Pre,,,,,,,,,,,,,,18,,2,,
PHYSICS,98BC,3,Bernard Sadoulet; Victoria Xu,,,,,,,,,,,,,,18,,2,,
LINGUIS,198,2,Peter Jenks; Pranav Pamidigantam,,,,,,,,,,,,,,16,,4,,
INTEGBI,132L,4,Austin Peck; Daniela Kaufer; Eric Armstrong,,20,,,1,,,,,,,,,,,,,
PB HLTH,198,2,Robin Flagg,,,,,,,,,,,,,,20,,1,,
UGBA,198,5,John Briginshaw,,,,,,,,,,,,,,20,1,,,
MATH,98,31,Michael Wong; Olga Holtz,,,,,,,,,,,,,,17,,4,,
LGBT,198,1,Elizabeth Harb; Laura Nelson,,,,,,,,,,,,,,20,1,,,
EDUC,236B,1,Geoffrey Saxe; Mallika Scott,,19,2,,,,,,,,,,,,,,,
POL SCI,198,3,Calixtho Lopes; Darren Zook; Wantakan Arcado,,,,,,,,,,,,,,20,,1,,
INTEGBI,132L,5,Austin Peck; Daniela Kaufer; Eric Armstrong,,12,9,,,,,,,,,,,,,,,
EDUC,275B,1,Sophia Rabe-Hesketh,10,12,,,,,,,,,,,,,,,,
MUSIC,198,8,Daniel Raban; Robert Calonico,,,,,,,,,,,,,,21,,1,,
CIV ENG,198,7,Iris Tommelein; Thomas Jacintho,,,,,,,,,,,,,,16,6,,,
COMPSCI,198,68,Yi-Ren Ng,,,,,,,,,,,,,,19,,3,,
EDUC,266B,1,Luz Cazares,,18,5,,,,,,,,,,,,,,,
MATH,98,29,Michael Wong; Olga Holtz,,,,,,,,,,,,,,20,,3,,
MATH,198,1,Richard Borcherds,,,,,,,,,,,,,,20,,3,,
EL ENG,198,13,Shimon Lustig; Thomas Zajdel,,,,,,,,,,,,,,21,,2,,
NUSCTX,98,2,Jen Chywan Wang,,,,,,,,,,,,,,19,,4,,
PB HLTH,198,10,Cathy Kodama,,,,,,,,,,,,,,22,,1,,
EDUC,198,31,Anthony Mirabelli; Lorena Valdez,,,,,,,,,,,,,,23,,1,,
UGIS,82,2,Marlo Warburton,3,21,,,,,,,,,,,,,,,,
PSYCH,198,3,Serena Chen,,,,,,,,,,,,,,22,,2,,
EDUC,195B,1,Richard Mccallum,2,22,,,,,,,,,,,,,,,,
POL SCI,198,2,Jeremy Saraie; Terri Bimes,,,,,,,,,,,,,,23,,1,,
ART,198,1,Asma Kazmi,,,,,,,,,,,,,,23,,1,,
NATAMST,197,1,Keith Feldman,,,,,,,,,,,,,,23,,2,,
CIV ENG,272,1,Kenichi Soga,,20,5,,,,,,,,,,,,,,,
ECON,251,1,Patrick Kline,,18,,,,,,,,,,,,,7,,,
LD ARCH,198,1,Charles Sullivan; Michael Gibbes,,,,,,,,,,,,,,24,,1,,
PB HLTH,223C,1,Jeffrey Oxendine; Stephen Shortell,,15,11,,,,,,,,,,,,,,,
UGBA,198,9,Holly Schroth,,,,,,,,,,,,,,25,,1,,
ESPM,201A,1,Damian Elias; Matthew Potts; Nancy Peluso; Ronald Amundson,,25,,,,,,,,,,,,,1,,,
MATH,98,12,Christopher Policastro; Olga Holtz,,,,,,,,,,,,,,23,,3,,
COMPSCI,24,2,Christopher Hunn,,25,,,,,,,,,,,,1,,,,
SOCIOL,198,2,Mary Kelsey,,,,,,,,,,,,,,25,1,,,
UGIS,192B,40,Cybelle Fox,,,,,,,,,,,,,,25,,1,,
EPS,39A,1,Hans Wenk,,18,8,,,,,,,,,,,,,,,
