Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
19,23517,,23517,,23517,Aya De Leon,,African American Studies,164,001,A,Letter Grade,A,Spoken Word:  Oral
4,23517,,23517,,23517,Aya De Leon,,African American Studies,164,001,A,Letter Grade,A-,Spoken Word:  Oral
3,23517,,23517,,23517,Aya De Leon,,African American Studies,164,001,B,Letter Grade,B+,Spoken Word:  Oral
2,23517,,23517,,23517,Aya De Leon,,African American Studies,164,001,B,Letter Grade,B,Spoken Word:  Oral
1,23517,,23517,,23517,Aya De Leon,,African American Studies,164,001,Credit,Non-Letter Grade,Pass,Spoken Word:  Oral
1,23517,,23517,,23517,Aya De Leon,,African American Studies,164,001,Credit,Non-Letter Grade,Satisfactory,Spoken Word:  Oral
3,18929,,18929,,18929,Stephen Small,,African American Studies,195,001,A,Letter Grade,A,Senior Capstone
2,18929,,18929,,18929,Stephen Small,,African American Studies,195,001,B,Letter Grade,B+,Senior Capstone
1,18929,,18929,,18929,Stephen Small,,African American Studies,195,001,B,Letter Grade,B,Senior Capstone
3,18929,,18929,,18929,Stephen Small,,African American Studies,195,001,Credit,Non-Letter Grade,Pass,Senior Capstone
2,15044,,15044,,15044,Takiyah Jackson,,African American Studies,197,001,Credit,Non-Letter Grade,Pass,Field Study
3,20710,,20710,,20710,Nikki Jones,,African American Studies,198,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
8,16646,,16646,,16646,Keith Feldman; Akilah Favors,,African American Studies,198BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
2,16646,,16646,,16646,Keith Feldman; Akilah Favors,,African American Studies,198BC,001,No Credit,Non-Letter Grade,Not Pass,Directed Group Stud
8,16647,,16647,,16647,Cynthia Ledesma; Keith Feldman,,African American Studies,198BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,17901,,17901,,17901,Chiyuma Elliott,,African American Studies,199,001,Credit,Non-Letter Grade,Pass,Superv Indep Study
3,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,A,Letter Grade,A+,Intro American Stdy
11,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,A,Letter Grade,A,Intro American Stdy
10,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,A,Letter Grade,A-,Intro American Stdy
2,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,B,Letter Grade,B+,Intro American Stdy
9,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,B,Letter Grade,B,Intro American Stdy
3,23134,,23134,,23134,Christine Palmer,,American Studies,10,001,B,Letter Grade,B-,Intro American Stdy
