Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,15753,,15753,,15753,Alberto Todeschini; Cornelia Ilin,,Data Science,210,008,B,Letter Grade,B+,Capstone
7,15754,,15754,,15754,Alberto Todeschini; Frederick Nugen,,Data Science,210,009,A,Letter Grade,A,Capstone
6,15754,,15754,,15754,Alberto Todeschini; Frederick Nugen,,Data Science,210,009,A,Letter Grade,A-,Capstone
3,15756,,15756,,15756,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,001,A,Letter Grade,A+,Behind The Data
9,15756,,15756,,15756,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,001,A,Letter Grade,A,Behind The Data
1,15756,,15756,,15756,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,001,A,Letter Grade,A-,Behind The Data
6,15757,,15757,,15757,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,002,A,Letter Grade,A+,Behind The Data
9,15757,,15757,,15757,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,002,A,Letter Grade,A,Behind The Data
3,15758,,15758,,15758,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,003,A,Letter Grade,A+,Behind The Data
10,15758,,15758,,15758,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,003,A,Letter Grade,A,Behind The Data
1,15758,,15758,,15758,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,003,B,Letter Grade,B+,Behind The Data
1,15758,,15758,,15758,Deborah Donig; Morgan Ames; Jared Maslin,,Data Science,231,003,B,Letter Grade,B,Behind The Data
4,15841,,15841,,15841,Scott Guenther,,Data Science,241,001,A,Letter Grade,A,Exp & Causal Infer
2,15841,,15841,,15841,Scott Guenther,,Data Science,241,001,A,Letter Grade,A-,Exp & Causal Infer
1,15841,,15841,,15841,Scott Guenther,,Data Science,241,001,B,Letter Grade,B+,Exp & Causal Infer
1,15841,,15841,,15841,Scott Guenther,,Data Science,241,001,B,Letter Grade,B-,Exp & Causal Infer
1,15841,,15841,,15841,Scott Guenther,,Data Science,241,001,C,Letter Grade,C-,Exp & Causal Infer
14,15843,,15843,,15843,Scott Guenther,,Data Science,241,003,A,Letter Grade,A,Exp & Causal Infer
1,15843,,15843,,15843,Scott Guenther,,Data Science,241,003,B,Letter Grade,B+,Exp & Causal Infer
1,15844,,15844,,15844,Scott Guenther,,Data Science,241,004,A,Letter Grade,A+,Exp & Causal Infer
8,15844,,15844,,15844,Scott Guenther,,Data Science,241,004,A,Letter Grade,A,Exp & Causal Infer
3,15844,,15844,,15844,Scott Guenther,,Data Science,241,004,A,Letter Grade,A-,Exp & Causal Infer
1,15844,,15844,,15844,Scott Guenther,,Data Science,241,004,B,Letter Grade,B,Exp & Causal Infer
1,15844,,15844,,15844,Scott Guenther,,Data Science,241,004,D,Letter Grade,D-,Exp & Causal Infer
3,15845,,15845,,15845,Scott Guenther,,Data Science,241,005,A,Letter Grade,A+,Exp & Causal Infer
11,15845,,15845,,15845,Scott Guenther,,Data Science,241,005,A,Letter Grade,A,Exp & Causal Infer
1,15845,,15845,,15845,Scott Guenther,,Data Science,241,005,B,Letter Grade,B,Exp & Causal Infer
1,15845,,15845,,15845,Scott Guenther,,Data Science,241,005,B,Letter Grade,B-,Exp & Causal Infer
5,14957,,14957,,14957,Stephen Muchovej,,Data Science,255,001,A,Letter Grade,A+,Ml Sys Eng
9,14957,,14957,,14957,Stephen Muchovej,,Data Science,255,001,A,Letter Grade,A,Ml Sys Eng
2,14957,,14957,,14957,Stephen Muchovej,,Data Science,255,001,F,Letter Grade,F,Ml Sys Eng
6,14958,,14958,,14958,James York-Winegar,,Data Science,255,002,A,Letter Grade,A+,Ml Sys Eng
9,14958,,14958,,14958,James York-Winegar,,Data Science,255,002,A,Letter Grade,A,Ml Sys Eng
14,15613,,15613,,15613,Luis Villarreal,,Data Science,255,003,A,Letter Grade,A,Ml Sys Eng
1,15613,,15613,,15613,Luis Villarreal,,Data Science,255,003,A,Letter Grade,A-,Ml Sys Eng
1,15613,,15613,,15613,Luis Villarreal,,Data Science,255,003,F,Letter Grade,F,Ml Sys Eng
1,15656,,15656,,15656,James York-Winegar,,Data Science,255,004,A,Letter Grade,A+,Ml Sys Eng
10,15656,,15656,,15656,James York-Winegar,,Data Science,255,004,A,Letter Grade,A,Ml Sys Eng
2,15656,,15656,,15656,James York-Winegar,,Data Science,255,004,A,Letter Grade,A-,Ml Sys Eng
1,15656,,15656,,15656,James York-Winegar,,Data Science,255,004,C,Letter Grade,C,Ml Sys Eng
1,15649,,15649,,15649,James Shanahan,,Data Science,261,001,A,Letter Grade,A+,Mach Lrn At Scale
2,15649,,15649,,15649,James Shanahan,,Data Science,261,001,A,Letter Grade,A,Mach Lrn At Scale
4,15649,,15649,,15649,James Shanahan,,Data Science,261,001,B,Letter Grade,B+,Mach Lrn At Scale
1,15650,,15650,,15650,James Shanahan,,Data Science,261,002,A,Letter Grade,A+,Mach Lrn At Scale
7,15650,,15650,,15650,James Shanahan,,Data Science,261,002,A,Letter Grade,A,Mach Lrn At Scale
4,15650,,15650,,15650,James Shanahan,,Data Science,261,002,A,Letter Grade,A-,Mach Lrn At Scale
3,15650,,15650,,15650,James Shanahan,,Data Science,261,002,B,Letter Grade,B+,Mach Lrn At Scale
4,15651,,15651,,15651,Ramakrishna Gummadi,,Data Science,261,003,A,Letter Grade,A,Mach Lrn At Scale
4,15651,,15651,,15651,Ramakrishna Gummadi,,Data Science,261,003,A,Letter Grade,A-,Mach Lrn At Scale
2,15651,,15651,,15651,Ramakrishna Gummadi,,Data Science,261,003,B,Letter Grade,B,Mach Lrn At Scale
5,15652,,15652,,15652,Ramakrishna Gummadi,,Data Science,261,004,A,Letter Grade,A,Mach Lrn At Scale
7,15652,,15652,,15652,Ramakrishna Gummadi,,Data Science,261,004,A,Letter Grade,A-,Mach Lrn At Scale
4,15653,,15653,,15653,Vinicio De Sola,,Data Science,261,005,A,Letter Grade,A+,Mach Lrn At Scale
6,15653,,15653,,15653,Vinicio De Sola,,Data Science,261,005,A,Letter Grade,A,Mach Lrn At Scale
2,15653,,15653,,15653,Vinicio De Sola,,Data Science,261,005,A,Letter Grade,A-,Mach Lrn At Scale
7,15643,,15643,,15643,Jennifer Zhu,,Data Science,266,001,A,Letter Grade,A,Nlp Deep Learning
4,15643,,15643,,15643,Jennifer Zhu,,Data Science,266,001,A,Letter Grade,A-,Nlp Deep Learning
3,15643,,15643,,15643,Jennifer Zhu,,Data Science,266,001,B,Letter Grade,B+,Nlp Deep Learning
