Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
7,27483,,27483,,27483,Meredith Fowlie; James Sallee,,Ag & Resource Econ & Pol,264,001,A,Letter Grade,A,Emp Energy Env Econ
2,27483,,27483,,27483,Meredith Fowlie; James Sallee,,Ag & Resource Econ & Pol,264,001,A,Letter Grade,A-,Emp Energy Env Econ
12,27484,,27484,,27484,Joseph Shapiro,,Ag & Resource Econ & Pol,269,001,Credit,Non-Letter Grade,Satisfactory,Resources Workshop
1,15820,,15820,,15820,Jeremy Magruder,,Ag & Resource Econ & Pol,298,009,A,Letter Grade,A+,Special Study
1,15824,,15824,,15824,Elisabeth Sadoulet,,Ag & Resource Econ & Pol,298,013,A,Letter Grade,A,Special Study
1,15830,,15830,,15830,David Zilberman,,Ag & Resource Econ & Pol,298,019,A,Letter Grade,A,Special Study
1,15832,,15832,,15832,Michael Anderson,,Ag & Resource Econ & Pol,299,001,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15833,,15833,,15833,Maximilian Auffhammer,,Ag & Resource Econ & Pol,299,002,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15836,,15836,,15836,Thibault Fally,,Ag & Resource Econ & Pol,299,005,Credit,Non-Letter Grade,Satisfactory,Individual Research
4,15837,,15837,,15837,Meredith Fowlie,,Ag & Resource Econ & Pol,299,006,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15838,,15838,,15838,Aprajit Mahajan,,Ag & Resource Econ & Pol,299,007,Credit,Non-Letter Grade,Satisfactory,Individual Research
4,15840,,15840,,15840,Ethan Ligon,,Ag & Resource Econ & Pol,299,009,Credit,Non-Letter Grade,Satisfactory,Individual Research
5,15841,,15841,,15841,Jeremy Magruder,,Ag & Resource Econ & Pol,299,010,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15842,,15842,,15842,Jeffrey Perloff,,Ag & Resource Econ & Pol,299,011,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15848,,15848,,15848,James Sallee,,Ag & Resource Econ & Pol,299,017,Credit,Non-Letter Grade,Satisfactory,Individual Research
6,15849,,15849,,15849,Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,299,018,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15851,,15851,,15851,Brian Wright,,Ag & Resource Econ & Pol,299,020,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,18345,,18345,,18345,Michael Anderson,,Ag & Resource Econ & Pol,602,001,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18347,,18347,,18347,Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,602,003,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18349,,18349,,18349,Thibault Fally,,Ag & Resource Econ & Pol,602,005,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18350,,18350,,18350,Meredith Fowlie,,Ag & Resource Econ & Pol,602,006,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
2,18351,,18351,,18351,Joseph Shapiro,,Ag & Resource Econ & Pol,602,007,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
2,18354,,18354,,18354,Jeremy Magruder,,Ag & Resource Econ & Pol,602,010,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
3,18363,,18363,,18363,James Sallee,,Ag & Resource Econ & Pol,602,019,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18364,,18364,,18364,Francis Annan,,Ag & Resource Econ & Pol,602,020,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
